test_root_path: /root/autodl-tmp/Stark/test/tracking_results/stark_st/baseline_R101
Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_095902_1_3
acc: 0.5109515158234609

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_095902_1_4
acc: 0.5893302709280094

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_095902_1_5
acc: 0.5339013293556689

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_095902_1_6
acc: 0.7099655364255097

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_095902_1_7
acc: 0.6421612089000994

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_095902_1_8
acc: 0.6626744411343595

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_095902_1_9
acc: 0.7406609710005625

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_102042_1_1
acc: 0.8124801148685405

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_102042_1_2
acc: 0.44856139945558754

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_102042_1_3
acc: 0.5125487227155204

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_102042_1_4
acc: 0.5225597381832215

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_102042_1_5
acc: 0.6254601810069165

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_102042_1_6
acc: 0.6611419305886106

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_102042_1_7
acc: 0.6891556109422395

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_102042_1_8
acc: 0.7196591003989623

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_102042_1_9
acc: 0.5332703442865184

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_111509_1_1
acc: 0.741913936582732

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_111509_1_2
acc: 0.7625169800910884

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_111509_1_3
acc: 0.6442283977542415

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_111509_1_4
acc: 0.7057211023560552

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_111509_1_5
acc: 0.7140382272267036

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_111509_1_6
acc: 0.7106885183384597

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_111509_1_7
acc: 0.6919440908582997

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_111509_1_8
acc: 0.7433739281887956

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_111509_1_9
acc: 0.5865323486707287

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_134054_1_1
acc: 0.649459266614086

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_134054_1_2
acc: 0.5090382076781935

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_134054_1_3
acc: 0.5162101667391537

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_134054_1_4
acc: 0.3469472529716421

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_134054_1_5
acc: 0.2399487839242177

Subfolder: /root/autodl-tmp/Stark/data/Anti-UAV/test/20190926_134054_1_6
acc: 0.6008448327318847

