test_root_path: results/Anti-UAV/model
Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_200805_1_8
acc: 0.04515245212545881

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_200805_1_9
acc: 0.06177807644864795

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_095902_1_1
acc: 0.17346025141228077

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_200805_1_7
acc: 0.0009686149498300185

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_095902_1_3
acc: 0.06884313648417549

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_095902_1_2
acc: 0.7081890914771198

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_095902_1_9
acc: 0.7369968439453914

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_095902_1_6
acc: 0.213453888649298

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_095902_1_7
acc: 0.6117289581416335

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_095902_1_8
acc: 0.6177028996029383

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_095902_1_4
acc: 0.5674867715811127

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_095902_1_5
acc: 0.5323267875512593

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_102042_1_6
acc: 0.6758020979854706

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_102042_1_3
acc: 0.5328340409063229

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_102042_1_5
acc: 0.6279214446334354

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_102042_1_4
acc: 0.06788133642453738

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_102042_1_2
acc: 0.14641241526230506

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_102042_1_1
acc: 0.6993288461322242

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_102042_1_9
acc: 0.08716339644368676

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_111509_1_2
acc: 0.6508257853761605

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_111509_1_3
acc: 0.5953931141049933

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_102042_1_7
acc: 0.6687342928148203

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_102042_1_8
acc: 0.5748306612816889

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_111509_1_1
acc: 0.7464778379077309

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_111509_1_9
acc: 0.720539864717804

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_111509_1_7
acc: 0.261307564436849

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_111509_1_8
acc: 0.7040499953400913

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_111509_1_5
acc: 0.5439902139411956

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_111509_1_6
acc: 0.6257467538504751

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_111509_1_4
acc: 0.7169379515155843

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_134054_1_6
acc: 0.5645494392460477

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_134054_1_4
acc: 0.2500729453734711

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_134054_1_5
acc: 0.43964336020323197

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_134054_1_2
acc: 0.356958713255308

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_134054_1_3
acc: 0.553787268787027

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_134054_1_1
acc: 0.6460675810617075

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_134054_1_8
acc: 0.5734762382505751

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_134054_1_9
acc: 0.5250087674488723

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_134054_1_7
acc: 0.5426782061757297

Mean acc: 0.3217280753068884
