test_root_path: /root/autodl-tmp/pysot/experiments/siamrpn_r50_l234_dwxcorr/results/Anti-UAV/model
Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_095902_1_9
acc: 0.7659051798119024

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_095902_1_7
acc: 0.6361064205137437

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_095902_1_8
acc: 0.5412678725650613

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_095902_1_4
acc: 0.6312178992798784

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_095902_1_5
acc: 0.4760057954164668

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_102042_1_3
acc: 0.43145065980462366

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_102042_1_6
acc: 0.7200632848006623

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_102042_1_4
acc: 0.09023481625884827

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_102042_1_5
acc: 0.02994708710557466

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_102042_1_2
acc: 0.10639490799672008

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_102042_1_1
acc: 0.7676163013142672

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_111509_1_2
acc: 0.2526718482614714

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_102042_1_8
acc: 0.6243087355093185

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_111509_1_3
acc: 0.6190713706790344

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_111509_1_1
acc: 0.7877501240308928

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_102042_1_7
acc: 0.730541876311734

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_102042_1_9
acc: 0.09652212340878283

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_111509_1_4
acc: 0.7219234433305971

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_111509_1_5
acc: 0.6156836187024519

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_111509_1_6
acc: 0.6541486786179603

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_134054_1_1
acc: 0.7210563742211747

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_134054_1_2
acc: 0.40636599057216977

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_111509_1_9
acc: 0.6932894861247063

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_111509_1_8
acc: 0.6759750220918662

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_111509_1_7
acc: 0.2641336124657716

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_134054_1_6
acc: 0.6179206897293222

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_134054_1_3
acc: 0.589253503289565

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_111757_1_2
acc: 0.32310108889561184

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_111757_1_1
acc: 0.6690449254175701

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_111757_1_10
acc: 0.2689921947490888

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_111757_1_8
acc: 0.0023359706389590586

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_111757_1_6
acc: 0.15060784097099544

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_111757_1_4
acc: 0.38380787931852506

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_111757_1_5
acc: 0.029441098089347476

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190925_111757_1_7
acc: 0.35834126645993203

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_134054_1_8
acc: 0.6616937488224598

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_134054_1_7
acc: 0.5997454090709838

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_134054_1_5
acc: 0.4684615896409832

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_134054_1_4
acc: 0.5308837437462525

Subfolder: /root/autodl-tmp/pysot/testing_dataset/Anti-UAV/20190926_134054_1_9
acc: 0.5841519125877909

Mean acc: 0.3432787137653538
