test_root_path: /root/autodl-tmp/pytracking/pytracking/tracking_results/tomp/tomp101
Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_200805_1_7
acc: 0.05941728086197725

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_095902_1_1
acc: 0.767940874260314

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_200805_1_6
acc: 0.43184342503236806

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_200805_1_9
acc: 0.07970719410896894

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_095902_1_2
acc: 0.7176839283315706

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_095902_1_5
acc: 0.7042774090228378

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_095902_1_4
acc: 0.602364364566479

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_095902_1_6
acc: 0.7650620501901559

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_095902_1_8
acc: 0.6670903742239095

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_095902_1_7
acc: 0.6768956855708486

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_095902_1_3
acc: 0.4623667940155466

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_102042_1_2
acc: 0.5583069738217284

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_102042_1_1
acc: 0.7227821392208869

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_102042_1_4
acc: 0.5359362272694903

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_095902_1_9
acc: 0.7646977812241232

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_102042_1_5
acc: 0.4105755063570903

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_102042_1_8
acc: 0.6603102935126726

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_111509_1_2
acc: 0.7107324535979939

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_111509_1_1
acc: 0.8039436320039607

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_111509_1_3
acc: 0.6207538135961633

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_111509_1_4
acc: 0.7165170861567172

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_111509_1_5
acc: 0.6227294800888884

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_111509_1_6
acc: 0.6818812504023836

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_111509_1_7
acc: 0.7231788210511514

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_111509_1_8
acc: 0.7453373091455315

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_111509_1_9
acc: 0.5836567040826413

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_134054_1_1
acc: 0.545173732810457

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_134054_1_2
acc: 0.5329633234441182

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_134054_1_3
acc: 0.4070505241143476

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_134054_1_4
acc: 0.367518299637282

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_134054_1_5
acc: 0.49467489966597955

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_134054_1_6
acc: 0.6552672536033337

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_134054_1_7
acc: 0.6158906207454479

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_134054_1_8
acc: 0.6494122733211176

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_134054_1_9
acc: 0.6282529381365983

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_102042_1_3
acc: 0.5633250207038735

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_102042_1_7
acc: 0.6495373736789188

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_102042_1_6
acc: 0.6685420585674092

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_102042_1_9
acc: 0.7216917109899736

Mean acc: 0.5036791090993402
