test_root_path: /root/autodl-tmp/pytracking/pytracking/tracking_results/dimp/dimp50
Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_200805_1_6
acc: 0.17681007708004506

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_200805_1_7
acc: 0.0010438413361169101

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190925_200805_1_9
acc: 0.17189671873281187

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_095902_1_1
acc: 0.68734187227092

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_095902_1_2
acc: 0.6744189836439209

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_095902_1_3
acc: 0.07264558603594201

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_095902_1_4
acc: 0.5590988973192975

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_095902_1_5
acc: 0.4573260384800845

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_095902_1_6
acc: 0.4555053965287157

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_095902_1_7
acc: 0.6318529275004625

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_095902_1_8
acc: 0.6435185731884261

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_095902_1_9
acc: 0.7301748787892822

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_102042_1_1
acc: 0.6809746667110991

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_102042_1_2
acc: 0.18292713857685303

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_102042_1_3
acc: 0.4225648245918546

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_102042_1_4
acc: 0.5386548727779265

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_102042_1_5
acc: 0.0662805260887527

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_102042_1_6
acc: 0.5985116787745549

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_102042_1_7
acc: 0.6483364680173787

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_102042_1_8
acc: 0.6388801390316172

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_102042_1_9
acc: 0.5956127672823054

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_111509_1_1
acc: 0.6050391846656133

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_111509_1_2
acc: 0.571076722706404

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_111509_1_3
acc: 0.5524018895494202

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_111509_1_4
acc: 0.7018328101625724

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_111509_1_5
acc: 0.5146914018274157

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_111509_1_6
acc: 0.6727520762694994

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_111509_1_7
acc: 0.245656643748811

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_111509_1_8
acc: 0.640682392869762

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_111509_1_9
acc: 0.6651388958172942

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_134054_1_1
acc: 0.5575737234149862

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_134054_1_2
acc: 0.46336102503324733

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_134054_1_3
acc: 0.4232164311729389

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_134054_1_4
acc: 0.045364056288307766

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_134054_1_5
acc: 0.4239536824614359

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_134054_1_6
acc: 0.6001463455970979

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_134054_1_7
acc: 0.6172401153483917

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_134054_1_8
acc: 0.6147172227237461

Subfolder: /root/autodl-tmp/pytracking/pytracking/data/Anti-UAV/test/20190926_134054_1_9
acc: 0.5829083917957346

Mean acc: 0.41209734155159783
